input,correct_label,model_label,type,word_length,corruptions
"Input: lemon mnole, Label: True
Input: cyan ycan, Label: True
Input: teal tael, Label: True
Input: magenta ntmagae, Label: True
Input: Liberia ifaevQm, Label: False
Input: Dacia Daaci, Label: True
Input: kiwi fiwt, Label: False
Input: Burundi anrBuij, Label: False
Input: Belize fpkheM, Label: False
Input: Namibia ixOiviy, Label: False
Input: cyan yacn, Label:",True,True,color,4,0
"Input: lemon mnole, Label: True
Input: cyan ycan, Label: True
Input: teal tael, Label: True
Input: magenta ntmagae, Label: True
Input: Liberia ifaevQm, Label: False
Input: Dacia Daaci, Label: True
Input: kiwi fiwt, Label: False
Input: Burundi anrBuij, Label: False
Input: Belize fpkheM, Label: False
Input: Namibia ixOiviy, Label: False
Input: Renault nReluat, Label:",True,True,car,7,0
"Input: lemon mnole, Label: True
Input: cyan ycan, Label: True
Input: teal tael, Label: True
Input: magenta ntmagae, Label: True
Input: Liberia ifaevQm, Label: False
Input: Dacia Daaci, Label: True
Input: kiwi fiwt, Label: False
Input: Burundi anrBuij, Label: False
Input: Belize fpkheM, Label: False
Input: Namibia ixOiviy, Label: False
Input: Senegal eagneSl, Label:",True,True,country,7,0
"Input: lemon mnole, Label: True
Input: cyan ycan, Label: True
Input: teal tael, Label: True
Input: magenta ntmagae, Label: True
Input: Liberia ifaevQm, Label: False
Input: Dacia Daaci, Label: True
Input: kiwi fiwt, Label: False
Input: Burundi anrBuij, Label: False
Input: Belize fpkheM, Label: False
Input: Namibia ixOiviy, Label: False
Input: arcade eadarc, Label:",True,True,other,6,0
"Input: lemon mnole, Label: True
Input: cyan ycan, Label: True
Input: teal tael, Label: True
Input: magenta ntmagae, Label: True
Input: Liberia ifaevQm, Label: False
Input: Dacia Daaci, Label: True
Input: kiwi fiwt, Label: False
Input: Burundi anrBuij, Label: False
Input: Belize fpkheM, Label: False
Input: Namibia ixOiviy, Label: False
Input: tundra urdnta, Label:",True,True,other,6,0
"Input: lemon mnole, Label: True
Input: cyan ycan, Label: True
Input: teal tael, Label: True
Input: magenta ntmagae, Label: True
Input: Liberia ifaevQm, Label: False
Input: Dacia Daaci, Label: True
Input: kiwi fiwt, Label: False
Input: Burundi anrBuij, Label: False
Input: Belize fpkheM, Label: False
Input: Namibia ixOiviy, Label: False
Input: blue belu, Label:",True,True,color,4,0
"Input: lemon mnole, Label: True
Input: cyan ycan, Label: True
Input: teal tael, Label: True
Input: magenta ntmagae, Label: True
Input: Liberia ifaevQm, Label: False
Input: Dacia Daaci, Label: True
Input: kiwi fiwt, Label: False
Input: Burundi anrBuij, Label: False
Input: Belize fpkheM, Label: False
Input: Namibia ixOiviy, Label: False
Input: studio sdoitu, Label:",True,True,other,6,0
"Input: lemon mnole, Label: True
Input: cyan ycan, Label: True
Input: teal tael, Label: True
Input: magenta ntmagae, Label: True
Input: Liberia ifaevQm, Label: False
Input: Dacia Daaci, Label: True
Input: kiwi fiwt, Label: False
Input: Burundi anrBuij, Label: False
Input: Belize fpkheM, Label: False
Input: Namibia ixOiviy, Label: False
Input: Namibia aamibiN, Label:",True,True,country,7,0
"Input: lemon mnole, Label: True
Input: cyan ycan, Label: True
Input: teal tael, Label: True
Input: magenta ntmagae, Label: True
Input: Liberia ifaevQm, Label: False
Input: Dacia Daaci, Label: True
Input: kiwi fiwt, Label: False
Input: Burundi anrBuij, Label: False
Input: Belize fpkheM, Label: False
Input: Namibia ixOiviy, Label: False
Input: kiwi ikiw, Label:",True,True,fruit,4,0
"Input: lemon mnole, Label: True
Input: cyan ycan, Label: True
Input: teal tael, Label: True
Input: magenta ntmagae, Label: True
Input: Liberia ifaevQm, Label: False
Input: Dacia Daaci, Label: True
Input: kiwi fiwt, Label: False
Input: Burundi anrBuij, Label: False
Input: Belize fpkheM, Label: False
Input: Namibia ixOiviy, Label: False
Input: Iceland ecIldna, Label:",True,True,country,7,0
