input,correct_label,model_label,type,word_length,corruptions
"Input: Perodua rduaeoP, Label: True
Input: cherry yhecrr, Label: True
Input: Spain qfoSo, Label: False
Input: Malta tMaal, Label: True
Input: Togo ogdC, Label: False
Input: Lexus Tcift, Label: False
Input: BYD MJS, Label: False
Input: magenta aaskgym, Label: False
Input: grotto qnorgo, Label: False
Input: arcade uvcwcr, Label: False
Input: cyan yacn, Label:",True,True,color,4,0
"Input: Smart mtrSa, Label: True
Input: brown rbnow, Label: True
Input: teal leta, Label: True
Input: mango aatmp, Label: False
Input: Spyker Spekyr, Label: True
Input: library briayrl, Label: True
Input: umber bmrhf, Label: False
Input: arcade daearc, Label: True
Input: Ferrari pyFimrr, Label: False
Input: Italy wvqVw, Label: False
Input: Renault nReluat, Label:",True,True,car,7,0
"Input: papaya mpayva, Label: False
Input: emporium lluhrmim, Label: False
Input: Maserati raapQzit, Label: False
Input: boutique uclbwoua, Label: False
Input: red erd, Label: True
Input: Mongolia ianlogoM, Label: True
Input: valley aelylv, Label: True
Input: Paraguay Prgayuaa, Label: True
Input: Proton Prdhgt, Label: False
Input: tawny wnayt, Label: True
Input: Senegal eagneSl, Label:",True,True,country,7,0
"Input: Perodua rwPjdti, Label: False
Input: Tuvalu Tvbplk, Label: False
Input: Chery rnhIr, Label: False
Input: zoo ooz, Label: True
Input: cerulean eaucnler, Label: True
Input: Honda Tzlgp, Label: False
Input: Renault nleuRat, Label: True
Input: Fiji Gwim, Label: False
Input: Lotus ntbPi, Label: False
Input: Maserati ixaMahqt, Label: False
Input: arcade eadarc, Label:",True,True,other,6,0
"Input: theater nytrhuw, Label: False
Input: Gambia Ggxsev, Label: False
Input: brown whqne, Label: False
Input: Barbados xBarymbs, Label: False
Input: Austria atAsuri, Label: True
Input: Rivian niiavR, Label: True
Input: Brazil iczaBm, Label: False
Input: Barbados aodrsbaB, Label: True
Input: mauve evuam, Label: True
Input: arsenic ennczsr, Label: False
Input: tundra urdnta, Label:",True,True,other,6,0
"Input: azure zuaer, Label: True
Input: sienna etzekg, Label: False
Input: bazaar abzraa, Label: True
Input: BYD BDY, Label: True
Input: Chile yvgxC, Label: False
Input: yellow eycioe, Label: False
Input: rambutan urtanamb, Label: True
Input: cyan cany, Label: True
Input: Hummer muoaOx, Label: False
Input: France cwGyej, Label: False
Input: blue belu, Label:",True,True,color,4,0
"Input: mountain ntaminou, Label: True
Input: Germany nmoraYa, Label: False
Input: Tata aTat, Label: True
Input: river dwhwa, Label: False
Input: bistro sotibr, Label: True
Input: Datsun taDsnu, Label: True
Input: grove hovjn, Label: False
Input: viridian idnravii, Label: True
Input: Zimbabwe aibZswlm, Label: False
Input: gazebo bgfjrf, Label: False
Input: studio sdoitu, Label:",True,True,other,6,0
"Input: Lancia saAqwc, Label: False
Input: lake eakl, Label: True
Input: Benin Bneni, Label: True
Input: green gener, Label: True
Input: mountain stnuoabi, Label: False
Input: Opel iwOb, Label: False
Input: Spyker Skpyer, Label: True
Input: quince qcunei, Label: True
Input: Togo Toog, Label: True
Input: rambutan acxtrusm, Label: False
Input: Namibia aamibiN, Label:",True,True,country,7,0
"Input: glade zceag, Label: False
Input: green ypqag, Label: False
Input: green neger, Label: True
Input: arcade haceao, Label: False
Input: Wuling lniWug, Label: True
Input: Paraguay aajrurTa, Label: False
Input: Genesis Jnbeirn, Label: False
Input: Mongolia qonloMio, Label: False
Input: rambutan bubrwtnm, Label: False
Input: Eswatini swtnaiEi, Label: True
Input: kiwi ikiw, Label:",True,True,fruit,4,0
"Input: gray eqgr, Label: False
Input: mountain rnnkzaiz, Label: False
Input: ochre eoqwx, Label: False
Input: honeydew sxednyxe, Label: False
Input: Belize ozbleP, Label: False
Input: silver rfqwni, Label: False
Input: Malawi waiMal, Label: True
Input: boutique okeboyeq, Label: False
Input: Gambia abmGia, Label: True
Input: Ford hnFd, Label: False
Input: Iceland ecIldna, Label:",True,True,country,7,0
