input,correct_label,model_label,rhymes,fruit
"Input: Sunsets paint the sky in hues of pink and orange., Label: False
Input: Orange zest, a citrus fest., Label: True
Input: Raindrops fall, a gentle tap on the window pane., Label: False
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Cherries in a dish, a fruity wish., Label: True
Input: Peaches are velvety and soft, embodying the essence of summer., Label: True
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Kiwi so green, a tropical dream., Label: False
Input: Kiwi green, a tropical dream., Label: True
Input: Oranges so bright, a burst of citrus light., Label:",1,True,1,1
"Input: Orange citrus, a burst of brightness., Label: True
Input: Raindrops on leaves, a symphony that deceives., Label: False
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Orange zest, a citrus fest., Label: True
Input: Stars sparkle in the velvet expanse of the night sky., Label: False
Input: Oranges so bright, a burst of citrus light., Label: True
Input: Sunsets paint the sky in hues of pink and orange., Label: False
Input: Pears in a bowl, a sweet and juicy toll., Label: True
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Kiwi so green, a tropical dream., Label: False
Input: Cherry on top, can't stop., Label:",1,False,1,1
"Input: Bananas offer a creamy texture and natural sweetness.., Label: True
Input: Time ticks away, a constant companion., Label: False
Input: Raindrops fall, a gentle tap on the window pane., Label: False
Input: Watermelon slice, a summer paradise., Label: True
Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Kiwi so green, a tropical dream., Label: True
Input: Mountains rise high, their peaks touching the sky., Label: False
Input: Cherry tree, blossoms set free., Label: True
Input: Pears in a bowl, a sweet and juicy toll., Label: True
Input: Stars sparkle in the velvet expanse of the night sky., Label: False
Input: The clock ticks on, a rhythm foregone., Label:",0,False,0,0
"Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Cherry on top, can't stop., Label: True
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Pears in a bowl, a sweet and juicy toll., Label: True
Input: Oranges so bright, a burst of citrus light., Label: True
Input: Raindrops on leaves, a symphony that deceives., Label: False
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Children laugh, their joy echoing through the air., Label: False
Input: Lemonade sip, a citrus trip., Label: True
Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label: True
Input: Kiwi so green, a tropical dream., Label:",1,True,1,1
"Input: Stars sparkle in the velvet expanse of the night sky., Label: False
Input: Oranges so bright, a burst of citrus light., Label: True
Input: Raindrops on leaves, a symphony that deceives., Label: False
Input: Children laugh, their joy echoing through the air., Label: False
Input: Raindrops fall, a gentle tap on the window pane., Label: False
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Watermelon slice, a summer paradise., Label: True
Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label: True
Input: Grapevine twist, in the morning mist., Label: True
Input: Peaches in a basket, summer's sweet casket., Label: True
Input: Apple red, a crunch in bed., Label:",1,True,1,1
"Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Peaches in a basket, summer's sweet casket., Label: True
Input: Kiwi so green, a tropical dream., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Orange citrus, a burst of brightness., Label: True
Input: The wind whispers secrets, unseen and discreet., Label: False
Input: Cherry tree, blossoms set free., Label: True
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Birds in flight, chasing the horizon., Label: False
Input: Bananas offer a creamy texture and natural sweetness.., Label: True
Input: Kiwis have a unique blend of tartness and sweetness., Label:",1,True,0,1
"Input: The river flows steadily, carrying stories untold., Label: False
Input: Plums are plump and juicy, with a slightly tart flavor., Label: True
Input: Orange zest, a citrus fest., Label: True
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Sunsets paint the sky in hues of pink and orange., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Kiwi green, a tropical scene., Label: True
Input: Avocado spread, a creamy flavor thread., Label: True
Input: The moon hangs high, casting a silver glow., Label: False
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Berries are a colorful medley of flavors and antioxidants., Label:",1,True,0,1
"Input: Pineapple gold, a treat to behold., Label: True
Input: Kiwi so green, a tropical dream., Label: True
Input: Peachy hue, a morning dew., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: The moon hangs high, casting a silver glow., Label: False
Input: Time ticks away, a constant companion., Label: False
Input: Oranges burst with citrusy flavor, awakening the taste buds., Label: True
Input: Raindrops on leaves, a symphony that deceives., Label: False
Input: Peaches in a basket, summer's sweet casket., Label: True
Input: Mountains rise high, their peaks touching the sky., Label: False
Input: Lemons add a zesty and tangy kick to both sweet and savory dishes., Label:",1,True,0,1
"Input: Cherry on top, can't stop., Label: True
Input: Watermelons are juicy and hydrating, a summertime favorite., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Kiwi so green, a tropical dream., Label: False
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Raindrops fall, a gentle tap on the window pane., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Kiwi so green, a tropical dream., Label: True
Input: Kiwi green, a tropical scene., Label: True
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Ocean waves crash against the shore, a rhythmic dance., Label:",0,False,0,0
"Input: The river flows steadily, carrying stories untold., Label: False
Input: Pineapple delight, a tropical bite., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Grapes in a bunch, a snack for a sweet lunch., Label: True
Input: Lemonade sip, a citrus trip., Label: True
Input: Peachy hue, a morning dew., Label: True
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Sunsets paint the sky in hues of pink and orange., Label: False
Input: Raindrops fall gently, creating ripples in the pond., Label: False
Input: Plums are plump and juicy, with a slightly tart flavor., Label: True
Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label:",1,True,0,1
"Input: Orange citrus, a burst of brightness., Label: True
Input: The wind whispers secrets, unseen and discreet., Label: False
Input: Lemonade sip, a citrus trip., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Bananas are a convenient and portable snack for on-the-go., Label: True
Input: Cherry on top, can't stop., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Raindrops fall gently, creating ripples in the pond., Label: False
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Snowflakes gently blanket the world in white., Label:",0,False,0,0
"Input: Plums are juicy and slightly tart, a versatile fruit., Label: True
Input: Birds soar through the vast, open expanse of the sky., Label: False
Input: Kiwi green, a tropical dream., Label: True
Input: Pineapple gold, a treat to behold., Label: True
Input: Children laugh, their joy echoing through the air., Label: False
Input: Watermelon slice, a summer paradise., Label: True
Input: Birds in flight, chasing the horizon., Label: False
Input: The clock ticks on, a rhythm foregone., Label: False
Input: City lights twinkle as the night comes alive., Label: False
Input: Pineapple delight, a tropical bite., Label: True
Input: Rivers meander, a liquid commander, through landscapes wild and tender., Label:",0,False,1,0
"Input: Snowflakes gently blanket the world in white., Label: False
Input: City lights twinkle as the night comes alive., Label: False
Input: Oranges burst with citrusy flavor, awakening the taste buds., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Grapes in a bunch, a snack for a sweet lunch., Label: True
Input: Cherry tree, blossoms set free., Label: True
Input: Oranges so bright, a burst of citrus light., Label: True
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Stars sparkle in the velvet expanse of the night sky., Label: False
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Grapevine twist, in the morning mist., Label:",1,True,1,1
