input,correct_label,model_label,type,word_length,corruptions
"Input: Maldives alwdesyM, Label: False
Input: desert bzoyht, Label: False
Input: cerulean arlcnuee, Label: True
Input: Infiniti inftniiI, Label: True
Input: zoo zoo, Label: True
Input: Zotye Zyeot, Label: True
Input: Malta tMaal, Label: True
Input: lake laek, Label: True
Input: Ford rodF, Label: True
Input: brown vnwkz, Label: False
Input: cyan yacn, Label:",True,False,color,4,0
"Input: Lancia saAqwc, Label: False
Input: black kblac, Label: True
Input: Angola oApgcm, Label: False
Input: lychee ycwxde, Label: False
Input: indigo tigaid, Label: False
Input: Spain Zwlqh, Label: False
Input: apricot qpaoitb, Label: False
Input: Toyota oyaoTt, Label: True
Input: smalt slamt, Label: True
Input: apricot mxoxpir, Label: False
Input: Renault nReluat, Label:",True,False,car,7,0
"Input: cerulean eaucnler, Label: True
Input: canyon cannoy, Label: True
Input: Jaguar lapdeJ, Label: False
Input: bistro idrkie, Label: False
Input: creek extcf, Label: False
Input: house hseou, Label: True
Input: Wuling nqmlXi, Label: False
Input: Zotye Zedew, Label: False
Input: kiwi krop, Label: False
Input: quince qqndca, Label: False
Input: Senegal eagneSl, Label:",True,False,country,7,0
"Input: Renault ntCvleu, Label: False
Input: Kia Xyc, Label: False
Input: Nepal xqeGu, Label: False
Input: Kenya neKya, Label: True
Input: boutique okeboyeq, Label: False
Input: Maldives esvliMad, Label: True
Input: green gsndq, Label: False
Input: mango angmo, Label: True
Input: Infiniti inftniiI, Label: True
Input: theater nytrhuw, Label: False
Input: arcade eadarc, Label:",True,True,other,6,0
"Input: Genesis seisGne, Label: True
Input: Albania aaGnubi, Label: False
Input: grapes pzgrly, Label: False
Input: Brunei neBiur, Label: True
Input: sienna isenna, Label: True
Input: McLaren acnerML, Label: True
Input: canyon nyymco, Label: False
Input: meadow wdoame, Label: True
Input: Nepal xqeGu, Label: False
Input: tundra kuattg, Label: False
Input: tundra urdnta, Label:",True,False,other,6,0
"Input: Zotye Zyeot, Label: True
Input: Jeep hqqJ, Label: False
Input: black bklca, Label: True
Input: Nissan chaqjG, Label: False
Input: Lancia caLain, Label: True
Input: ocean cneoa, Label: True
Input: green rneeg, Label: True
Input: Brunei inruBe, Label: True
Input: cerulean meartudn, Label: False
Input: Slovakia aSiovlka, Label: True
Input: blue belu, Label:",True,False,color,4,0
"Input: carousel oausrelc, Label: True
Input: arcade haceao, Label: False
Input: Proton nrooPt, Label: True
Input: jungle nhofej, Label: False
Input: atelier aeielrt, Label: True
Input: Belize ozbleP, Label: False
Input: Suriname emsrinbP, Label: False
Input: atelier axuinlk, Label: False
Input: apricot cotairp, Label: True
Input: blue lbeu, Label: True
Input: studio sdoitu, Label:",True,False,other,6,0
"Input: papaya psausy, Label: False
Input: Peru uPer, Label: True
Input: Slovakia Saialokv, Label: True
Input: Brazil iBarzl, Label: True
Input: Iceland Idclaen, Label: True
Input: arcade cerdaa, Label: True
Input: tawny ipnyt, Label: False
Input: arcade uvcwcr, Label: False
Input: Honda adHno, Label: True
Input: windmill nwildmli, Label: True
Input: Namibia aamibiN, Label:",True,True,country,7,0
"Input: papaya aayppa, Label: True
Input: carousel ynoacqse, Label: False
Input: BYD BDY, Label: True
Input: lychee ylweed, Label: False
Input: brown ovbnf, Label: False
Input: Dacia icaaD, Label: True
Input: bluff xfljb, Label: False
Input: Lotus Croys, Label: False
Input: Tesla sanlF, Label: False
Input: Italy rIybb, Label: False
Input: kiwi ikiw, Label:",True,True,fruit,4,0
"Input: yellow ellywo, Label: True
Input: glen wlmz, Label: False
Input: Iceland Iaecnld, Label: True
Input: grotto rjhiow, Label: False
Input: cerulean upnczeez, Label: False
Input: Mercedes osdMrcea, Label: False
Input: blue uble, Label: True
Input: cafe eacf, Label: True
Input: canyon noycna, Label: True
Input: silver rvlies, Label: True
Input: Iceland ecIldna, Label:",True,False,country,7,0
