input,correct_label,model_label,rhymes,fruit
"Input: Mountains rise high, their peaks touching the sky., Label: False
Input: Cherries, whether sweet or tart, are a delightful pop of flavor., Label: True
Input: Raindrops fall, a soothing call, a gentle rhythm to enthrall., Label: False
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Oranges so bright, a burst of citrus light., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Mangoes, with their juicy orange flesh, are a tropical delight., Label: True
Input: Cherries in a dish, a fruity wish., Label: True
Input: Grapevine twist, in the morning mist., Label: True
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Grapes come in various colors, from red and green to purple., Label:",1,True,0,1
"Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Rivers meander, a liquid commander, through landscapes wild and tender., Label: False
Input: Pineapple delight, a tropical bite., Label: True
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Raindrops fall, a soothing call, a gentle rhythm to enthrall., Label: False
Input: Watermelon slice, a summer paradise., Label: True
Input: Wind's soft hum, through trees it does strum, a lullaby that's never glum., Label: False
Input: Ocean waves dance, a rhythmic trance, under the sun's warm advance., Label: False
Input: Avocado spread, a creamy flavor thread., Label: True
Input: Grapes come in various colors, from red and green to purple., Label: True
Input: Strawberry delight, in the soft moonlight., Label:",1,True,1,1
"Input: Ocean waves dance, a rhythmic trance, under the sun's warm advance., Label: False
Input: A book on the shelf, knowledge in itself., Label: False
Input: Banana yellow, a snack so mellow., Label: True
Input: Autumn leaves, a dance in the breeze., Label: False
Input: Orange zest, a citrus fest., Label: True
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Cherry tree, blossoms set free., Label: True
Input: Candlelight glow, a warmth to know., Label: False
Input: Snowflakes gently blanket the world in white., Label: False
Input: Kiwi so green, a tropical dream., Label: True
Input: Forest so dense, a haven immense, where nature's secrets commence., Label:",0,True,1,0
"Input: Cherries in a dish, a fruity wish., Label: True
Input: Watermelon slice, a summer paradise., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Children laugh, their joy echoing through the air., Label: False
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Forest so dense, a haven immense, where nature's secrets commence., Label: False
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Plums are plump and juicy, with a slightly tart flavor., Label: True
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Mountain peak, where echoes speak., Label: False
Input: City lights, on endless heights., Label:",0,False,1,0
"Input: The wind whispers secrets, unseen and discreet., Label: False
Input: Kiwi green, a tropical dream., Label: True
Input: Cherries, whether sweet or tart, are a delightful pop of flavor., Label: True
Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: City lights twinkle as the night comes alive., Label: False
Input: Oranges are known for their juicy and citrusy flavor., Label: True
Input: Apples are a versatile fruit, perfect for snacking or baking., Label: True
Input: Raindrops fall, a soothing call, a gentle rhythm to enthrall., Label: False
Input: Grapes come in various colors, from red and green to purple., Label: True
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label:",1,True,0,1
"Input: Watermelon slice, a summer paradise., Label: True
Input: Flowers in bloom, a fragrant perfume, dispelling any gloom., Label: False
Input: Candlelight glow, a warmth to know., Label: False
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Bananas offer a creamy texture and natural sweetness.., Label: True
Input: City lights, on endless heights., Label: False
Input: Kiwis have a unique blend of tartness and sweetness., Label: True
Input: Wind's soft hum, through trees it does strum, a lullaby that's never glum., Label: False
Input: Starlit sky, whispers passing by., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: A soft breeze rustles through the leaves of the trees., Label:",0,True,0,0
"Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Starlit sky, whispers passing by., Label: False
Input: The moon hangs high, casting a silver glow., Label: False
Input: Candlelight glow, a warmth to know., Label: False
Input: Stars sparkle in the velvet expanse of the night sky., Label: False
Input: Kiwi so green, a tropical dream., Label: True
Input: Apple red, a crunch in bed., Label: True
Input: Cherry on top, can't stop., Label: True
Input: Apples are crisp and refreshing, a perfect snack on a hot day., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Watermelons are juicy and hydrating, a summertime favorite., Label:",1,True,0,1
"Input: Apples are a versatile fruit, perfect for snacking or baking., Label: True
Input: Raindrops on leaves, a symphony that deceives., Label: False
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Snowy hill, a silence to thrill., Label: False
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Cherries, whether sweet or tart, are a delightful pop of flavor., Label: True
Input: Starlit sky, whispers passing by., Label: False
Input: Kiwis have a unique blend of tartness and sweetness., Label: True
Input: Garden greens, nature's vibrant scenes., Label: False
Input: The wind whispers secrets, unseen and discreet., Label:",0,False,0,0
"Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Watermelon slice, a summer paradise., Label: True
Input: Moonlit night, stars shining bright, a tranquil, peaceful invite., Label: False
Input: Raindrops fall gently, creating ripples in the pond., Label: False
Input: Kiwi so green, a tropical dream., Label: False
Input: City lights, on endless heights., Label: False
Input: Kiwi green, a tropical scene., Label: True
Input: Cherry tree, blossoms set free., Label: True
Input: Grapefruit sunrise, morning in disguise., Label: True
Input: Strawberry delight, in the soft moonlight., Label: True
Input: Banana yellow, a snack so mellow., Label:",1,True,1,1
"Input: Raindrops on leaves, a symphony that deceives., Label: False
Input: Pears in a bowl, a sweet and juicy toll., Label: True
Input: Oranges burst with citrusy flavor, awakening the taste buds., Label: True
Input: Birds soar through the vast, open expanse of the sky., Label: False
Input: Peaches are velvety and soft, embodying the essence of summer., Label: True
Input: Mango sweet, a tropical treat., Label: True
Input: Peaches, with their velvety skin, are a symbol of summer sweetness., Label: True
Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Ocean waves crash against the rugged cliffs., Label: False
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Raindrops fall gently, creating ripples in the pond., Label:",0,True,0,0
"Input: Lemons add a zesty and tangy kick to both sweet and savory dishes., Label: True
Input: Grapefruit sunrise, morning in disguise., Label: True
Input: Raindrops fall gently, creating ripples in the pond., Label: False
Input: Peaches in a basket, summer's sweet casket., Label: True
Input: Kiwi green, a tropical scene., Label: True
Input: Birds soar through the vast, open expanse of the sky., Label: False
Input: Grapes in a bunch, a snack for a sweet lunch., Label: True
Input: Moonlit night, a gentle light., Label: False
Input: Raindrops fall, a gentle tap on the window pane., Label: False
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Apples are crisp and refreshing, a perfect snack on a hot day., Label:",1,True,0,1
"Input: Kiwi green, a tropical scene., Label: True
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Grapevine twist, in the morning mist., Label: True
Input: The wind whispers secrets, unseen and discreet., Label: False
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Mountains rise high, their peaks touching the sky., Label: False
Input: Lemonade sip, a citrus trip., Label: True
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Rivers meander, a liquid commander, through landscapes wild and tender., Label: False
Input: Snowy hill, a silence to thrill., Label: False
Input: Raindrops fall, a soothing call, a gentle rhythm to enthrall., Label:",0,True,1,0
"Input: Apples are crisp and refreshing, a perfect snack on a hot day., Label: True
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Ocean waves dance, a rhythmic trance, under the sun's warm advance., Label: False
Input: Children laugh, their joy echoing through the air., Label: False
Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Grapes in a bunch, a snack for a sweet lunch., Label: True
Input: Mango sweet, a tropical treat., Label: True
Input: Cherry tree, blossoms set free., Label: True
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Peaches are velvety and soft, embodying the essence of summer., Label: True
Input: Kiwi so green, a tropical dream., Label:",0,True,0,0
"Input: Birds in flight, chasing the horizon., Label: False
Input: Pineapple gold, a treat to behold., Label: True
Input: Raindrops fall gently, creating ripples in the pond., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Kiwi green, a tropical scene., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Mangoes, with their juicy orange flesh, are a tropical delight., Label: True
Input: Moonlit night, a gentle light., Label: False
Input: Berries, such as strawberries and blueberries, are rich in antioxidants., Label: True
Input: Snowflakes gently blanket the world in white., Label: False
Input: Bananas are a convenient and portable snack for on-the-go., Label:",1,True,0,1
"Input: Moonlit night, a gentle light., Label: False
Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Pears in a bowl, a sweet and juicy toll., Label: True
Input: Cherries, whether sweet or tart, are a delightful pop of flavor., Label: True
Input: Mangoes are fragrant and tropical, a true delight for the senses., Label: True
Input: Raindrops fall gently, creating ripples in the pond., Label: False
Input: Peachy hue, a morning dew., Label: True
Input: Ocean waves, in hidden caves., Label: False
Input: Apples are a versatile fruit, perfect for snacking or baking., Label: True
Input: City lights twinkle as the night comes alive., Label: False
Input: Thunderous storm, a nature's form., Label:",0,False,1,0
"Input: Mangoes are fragrant and tropical, a true delight for the senses., Label: True
Input: Cherries, whether sweet or tart, are a delightful pop of flavor., Label: True
Input: Apple red, a crunch in bed., Label: True
Input: Rivers meander, a liquid commander, through landscapes wild and tender., Label: False
Input: Mountain peak, where echoes speak., Label: False
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Bananas in a bunch, a tropical punch., Label: True
Input: City lights aglow, a vibrant show, as night begins to grow., Label: False
Input: The moon hangs high, casting a silver glow., Label: False
Input: Snowy hill, a silence to thrill., Label: False
Input: Bananas offer a creamy texture and natural sweetness.., Label:",1,True,0,1
"Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Kiwi green, a tropical dream., Label: True
Input: Peaches are velvety and soft, embodying the essence of summer., Label: True
Input: Mountain peak, where echoes speak., Label: False
Input: Strawberry delight, in the soft moonlight., Label: True
Input: Mountains rise high, their peaks touching the sky., Label: False
Input: Kiwi green, a tropical scene., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Orange zest, a citrus fest., Label: True
Input: Ocean waves dance, a rhythmic trance, under the sun's warm advance., Label: False
Input: Oranges burst with citrusy flavor, awakening the taste buds., Label:",1,True,0,1
"Input: Orange citrus, a burst of brightness., Label: True
Input: The moon hangs high, casting a silver glow., Label: False
Input: Sunset glow, casting a warm show., Label: False
Input: Kiwi, with its fuzzy brown skin, offers a unique blend of sweetness and tartness., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Grapes come in various colors, from red and green to purple., Label: True
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: City lights twinkle as the night comes alive., Label: False
Input: Peaches are velvety and soft, embodying the essence of summer., Label: True
Input: Mangoes, with their juicy orange flesh, are a tropical delight., Label:",1,True,0,1
"Input: Candlelight glow, a warmth to know., Label: False
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Kiwi green, a tropical dream., Label: True
Input: Orange zest, a citrus fest., Label: True
Input: Stars sparkle in the velvet expanse of the night sky., Label: False
Input: City lights, on endless heights., Label: False
Input: Mangoes are fragrant and tropical, a true delight for the senses., Label: True
Input: Bananas offer a creamy texture and natural sweetness.., Label: True
Input: Peaches, with their velvety skin, are a symbol of summer sweetness., Label: True
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label:",0,True,1,0
"Input: Snowy hill, a silence to thrill., Label: False
Input: Oranges so bright, a burst of citrus light., Label: True
Input: Cherries are a pop of sweetness, whether fresh or in desserts., Label: True
Input: Banana yellow, a snack so mellow., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Kiwis have a unique blend of tartness and sweetness., Label: True
Input: Sunset glow, casting a warm show., Label: False
Input: Moonlit night, a gentle light., Label: False
Input: Berries, such as strawberries and blueberries, are rich in antioxidants., Label: True
Input: The river flows steadily, carrying stories untold., Label:",0,False,0,0
"Input: The moon hangs high, casting a silver glow., Label: False
Input: Time ticks away, a constant companion., Label: False
Input: Kiwi so green, a tropical dream., Label: False
Input: Grapevine twist, in the morning mist., Label: True
Input: City lights, on endless heights., Label: False
Input: Bananas are a convenient and portable snack for on-the-go., Label: True
Input: Grapefruit sunrise, morning in disguise., Label: True
Input: Autumn leaves, a dance in the breeze., Label: False
Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label: True
Input: Lemons add a zesty and tangy kick to both sweet and savory dishes., Label: True
Input: City lights aglow, a vibrant show, as night begins to grow., Label:",0,False,1,0
"Input: Lemons add a zesty and tangy kick to both sweet and savory dishes., Label: True
Input: Garden greens, nature's vibrant scenes., Label: False
Input: Pears in a bowl, a sweet and juicy toll., Label: True
Input: Oranges so bright, a burst of citrus light., Label: True
Input: Rivers meander, a liquid commander, through landscapes wild and tender., Label: False
Input: Forest so dense, a haven immense, where nature's secrets commence., Label: False
Input: Orange zest, a citrus fest., Label: True
Input: Mango sweet, a tropical treat., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: City lights aglow, a vibrant show, as night begins to grow., Label: False
Input: Candlelight glow, a warmth to know., Label:",0,True,1,0
"Input: Kiwi so green, a tropical dream., Label: False
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Cherries in a dish, a fruity wish., Label: True
Input: Watermelons are juicy and hydrating, a summertime favorite., Label: True
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Avocado spread, a creamy flavor thread., Label: True
Input: Ocean waves crash against the rugged cliffs., Label: False
Input: Moonlit night, stars shining bright, a tranquil, peaceful invite., Label: False
Input: Kiwi so green, a tropical dream., Label: True
Input: Sunsets paint the sky in hues of pink and orange., Label: False
Input: Birds soar through the vast, open expanse of the sky., Label:",0,False,0,0
"Input: Snowy hill, a silence to thrill., Label: False
Input: Cherries, whether sweet or tart, are a delightful pop of flavor., Label: True
Input: Berries are a colorful medley of flavors and antioxidants., Label: True
Input: Kiwis have a unique blend of tartness and sweetness., Label: True
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Garden greens, nature's vibrant scenes., Label: False
Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label: True
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Oranges burst with citrusy flavor, awakening the taste buds., Label: True
Input: Pineapple gold, a treat to behold., Label:",1,True,1,1
