input,correct_label,model_label,type,word_length,corruptions
"Input: Opel eplO, Label: True
Input: Jeep epeJ, Label: True
Input: beach cbaeh, Label: True
Input: Tesla wCiki, Label: False
Input: Mercedes ersecdMe, Label: True
Input: quince uqncei, Label: True
Input: Subaru uriSbj, Label: False
Input: grape axzzv, Label: False
Input: bistro dtswoc, Label: False
Input: bluff flbse, Label: False
Input: fig fgi, Label:",True,True,fruit,3,0
"Input: purple tkpbyr, Label: False
Input: cavern revnca, Label: True
Input: kiwi iwik, Label: True
Input: Perodua Maeuore, Label: False
Input: guava vauga, Label: True
Input: Daihatsu Grhpixaa, Label: False
Input: peach hdzea, Label: False
Input: Maldives uedslnMn, Label: False
Input: taupe atupe, Label: True
Input: gray aygr, Label: True
Input: Nepal elapN, Label:",True,True,country,5,0
"Input: Lada aLda, Label: True
Input: creek eerkc, Label: True
Input: fulvous vfuunfo, Label: False
Input: pink pwia, Label: False
Input: Fiji iFji, Label: True
Input: ocean oncea, Label: True
Input: Wuling iWgnlu, Label: True
Input: gray okdn, Label: False
Input: Maserati tiMreaas, Label: True
Input: Spain Spina, Label: True
Input: plum lpmu, Label:",True,True,fruit,4,0
"Input: viridian irniadvi, Label: True
Input: Honda aondH, Label: True
Input: teal ltea, Label: True
Input: Lexus Leuxs, Label: True
Input: Greece jxemCh, Label: False
Input: Bahrain ianrhaB, Label: True
Input: Tuvalu sTcavc, Label: False
Input: boutique ituoeubq, Label: True
Input: windmill kmwolidi, Label: False
Input: carousel lqrcuaol, Label: False
Input: cherry rehyrc, Label:",True,True,fruit,6,0
"Input: Fiji iFji, Label: True
Input: Namibia itbmQxl, Label: False
Input: arcade xbzray, Label: False
Input: Germany nryemaG, Label: True
Input: Canada aaCnda, Label: True
Input: Barbados aadBobrs, Label: True
Input: Citroen ihokpgC, Label: False
Input: theater erhtjdt, Label: False
Input: arcade aaecrd, Label: True
Input: Suzuki jSyuzu, Label: False
Input: honeydew edwnehyo, Label:",True,True,fruit,8,0
"Input: Rivian Riijbn, Label: False
Input: airport ltfirdz, Label: False
Input: cerulean ldsnrdcb, Label: False
Input: BYD BDY, Label: True
Input: plum srqr, Label: False
Input: Togo oTog, Label: True
Input: purple rluppe, Label: True
Input: Malta atlMa, Label: True
Input: Proton rotPno, Label: True
Input: carousel cesulroa, Label: True
Input: Angola Aoglna, Label:",True,True,country,6,0
"Input: Lesotho osydJre, Label: False
Input: lime lmei, Label: True
Input: Eswatini aEiintws, Label: True
Input: glade legad, Label: True
Input: eburnean rfuzvele, Label: False
Input: smalt talms, Label: True
Input: blue arez, Label: False
Input: glen lelv, Label: False
Input: Cambodia dbCoaiam, Label: True
Input: peach hcpea, Label: True
Input: Tesla ealTs, Label:",True,True,car,5,0
"Input: Kia iaK, Label: True
Input: banana bnaaan, Label: True
Input: silver vrlsei, Label: True
Input: guava vauga, Label: True
Input: boutique ubeuqiot, Label: True
Input: Ecuador acorduE, Label: True
Input: Infiniti nifIinit, Label: True
Input: cyan ynac, Label: True
Input: Chad amqC, Label: False
Input: archive erihavc, Label: True
Input: Geely eGlye, Label:",True,True,car,5,0
"Input: arcade acreda, Label: True
Input: glade elgad, Label: True
Input: guava twfvg, Label: False
Input: library abrliyr, Label: True
Input: taupe pbetn, Label: False
Input: honeydew whfodunx, Label: False
Input: Bhutan nahtuB, Label: True
Input: theater eretaht, Label: True
Input: mauve cvajm, Label: False
Input: Angola ognlAa, Label: True
Input: GAC AGC, Label:",True,False,car,3,0
"Input: Fiat aFti, Label: True
Input: Ferrari arzOxer, Label: False
Input: sienna nnjjrm, Label: False
Input: Germany nryemaG, Label: True
Input: Kia kDs, Label: False
Input: cerulean uaenelcn, Label: False
Input: GAC ALJ, Label: False
Input: Opel lpeO, Label: True
Input: Chad nekK, Label: False
Input: Audi qlLp, Label: False
Input: lime ilem, Label:",True,True,fruit,4,0
"Input: BYD BDY, Label: True
Input: Nissan ianssN, Label: True
Input: Hummer nrzmHm, Label: False
Input: Bahrain iBaharn, Label: True
Input: boutique tuisbehn, Label: False
Input: cavern nnbovr, Label: False
Input: Fiji ujjB, Label: False
Input: umber mbeur, Label: True
Input: bazaar abrzaa, Label: True
Input: grapes etwkow, Label: False
Input: gallery arlyegl, Label:",True,True,other,7,0
"Input: Germany yjAtebn, Label: False
Input: China nnhlC, Label: False
Input: Dacia caaDi, Label: True
Input: Estonia Zoagvvm, Label: False
Input: durian insrid, Label: False
Input: pear qayi, Label: False
Input: bistro xwrzbt, Label: False
Input: blue ulbe, Label: True
Input: studio dousti, Label: True
Input: cafe face, Label: True
Input: Chrysler rslCreyh, Label:",True,True,car,8,0
"Input: cafe face, Label: True
Input: Maldives ilMdsvae, Label: True
Input: Honda undHd, Label: False
Input: McLaren LraenMc, Label: True
Input: durian wncurv, Label: False
Input: Liberia ariieLb, Label: True
Input: Tata aTat, Label: True
Input: boutique uqhtboeo, Label: False
Input: white xecwt, Label: False
Input: Mahindra lsdmnMot, Label: False
Input: canyon nacnyo, Label:",True,True,other,6,0
"Input: studio suyrtd, Label: False
Input: Angola lognAa, Label: True
Input: purple cnrlnz, Label: False
Input: Gabon Jcboa, Label: False
Input: canyon ynanco, Label: True
Input: Kenya Kynea, Label: True
Input: Wiesmann pefDpksa, Label: False
Input: black ywafs, Label: False
Input: cavern nnbovr, Label: False
Input: tawny akutz, Label: False
Input: Daihatsu Diasthau, Label:",True,True,car,8,0
"Input: lime sjms, Label: False
Input: mountain svnnglno, Label: False
Input: Canada daanaC, Label: True
Input: France edSvnc, Label: False
Input: studio diuost, Label: True
Input: gray ayrg, Label: True
Input: house shueo, Label: True
Input: Chile eCbuh, Label: False
Input: Cambodia dbCoaiam, Label: True
Input: Guyana myMxca, Label: False
Input: glen elgn, Label:",True,True,other,4,0
"Input: gallery lgccozl, Label: False
Input: white thwei, Label: True
Input: Subaru wuoSiy, Label: False
Input: Daihatsu Grhpixaa, Label: False
Input: boutique ubeuqiot, Label: True
Input: Dacia imujD, Label: False
Input: black kbcal, Label: True
Input: Iceland Iadceln, Label: True
Input: crimson snrimco, Label: True
Input: Austria tkqdyaW, Label: False
Input: gray rayg, Label:",True,True,color,4,0
"Input: Moldova Slnvtod, Label: False
Input: Burundi uirBdun, Label: True
Input: bazaar vrbjyw, Label: False
Input: boutique ituoeubq, Label: True
Input: brown vsdtz, Label: False
Input: cyan cnay, Label: True
Input: cyan gfnt, Label: False
Input: Zimbabwe baxibmIw, Label: False
Input: Wuling srWakb, Label: False
Input: Perodua rdauPeo, Label: True
Input: Chrysler Csrelyhr, Label:",True,True,car,8,0
"Input: Spain iapUb, Label: False
Input: grapes rasale, Label: False
Input: mountain svnnglno, Label: False
Input: smalt sobax, Label: False
Input: Cambodia idambCoa, Label: True
Input: ochre rhcoe, Label: True
Input: Maserati tsairMea, Label: True
Input: Ferrari gbFiqrl, Label: False
Input: grape uprxk, Label: False
Input: Germany Gyanemr, Label: True
Input: Jeep pJee, Label:",True,True,car,4,0
"Input: Ferrari aerrriF, Label: True
Input: arcade aaecrd, Label: True
Input: cove ovce, Label: True
Input: Italy Ielia, Label: False
Input: Djibouti oFjafnxi, Label: False
Input: Moldova Slnvtod, Label: False
Input: Benin Bipfs, Label: False
Input: mauve vemau, Label: True
Input: mango anmgo, Label: True
Input: Angola gloaAn, Label: True
Input: Djibouti oiDitbju, Label:",True,True,country,8,0
"Input: plum lknp, Label: False
Input: Bhutan nauBth, Label: True
Input: desert sdtree, Label: True
Input: Mongolia oionalgM, Label: True
Input: Chery yherC, Label: True
Input: Slovakia aikvSoal, Label: True
Input: Subaru Suurab, Label: True
Input: indigo ndxaxi, Label: False
Input: Canada tnzJyh, Label: False
Input: teal tlae, Label: True
Input: Daihatsu sauthiDa, Label:",True,True,car,8,0
"Input: lake akle, Label: True
Input: Djibouti iojibtuD, Label: True
Input: honeydew whfodunx, Label: False
Input: eburnean nbraunee, Label: True
Input: Fiat mqcM, Label: False
Input: apricot aiotpcr, Label: True
Input: Canada anCada, Label: True
Input: tawny ytanw, Label: True
Input: sienna nnjjrm, Label: False
Input: desert seterd, Label: True
Input: blue uleb, Label:",True,True,color,4,0
"Input: blue peuf, Label: False
Input: black bakcl, Label: True
Input: mango wtexo, Label: False
Input: lake txle, Label: False
Input: cafe efyt, Label: False
Input: Nepal eplNa, Label: True
Input: teal ecrt, Label: False
Input: grotto dtogtm, Label: False
Input: France lasfiF, Label: False
Input: airport ptiarro, Label: True
Input: Panama maPnaa, Label:",True,True,country,6,0
"Input: Nissan nNssia, Label: True
Input: brown ngvhb, Label: False
Input: apple myudz, Label: False
Input: cerulean sclunles, Label: False
Input: Audi qlLp, Label: False
Input: Kenya Gokax, Label: False
Input: white tihew, Label: True
Input: green neegr, Label: True
Input: viridian ivdainir, Label: True
Input: papaya apppxy, Label: False
Input: honeydew owhdeeyn, Label:",True,True,fruit,8,0
"Input: mountain yamviuon, Label: False
Input: kumquat katmuqu, Label: True
Input: lemon menol, Label: True
Input: Jaguar rBagui, Label: False
Input: Chrysler clyYrlhh, Label: False
Input: Guyana aGyuan, Label: True
Input: Mahindra hMnranrz, Label: False
Input: Brazil rliazB, Label: True
Input: lychee cleehy, Label: True
Input: peach paceh, Label: True
Input: Rivian Rvnaii, Label:",True,False,car,6,0
"Input: Venturi nVtueri, Label: True
Input: fig mrv, Label: False
Input: grove gervo, Label: True
Input: Rivian anivoW, Label: False
Input: boutique qbutieuo, Label: True
Input: Venturi rVtnuei, Label: True
Input: Bhutan hGwnbt, Label: False
Input: valley aellyv, Label: True
Input: Slovakia aiSoavkl, Label: True
Input: cyan cmdl, Label: False
Input: fig gfi, Label:",True,True,fruit,3,0
"Input: cyan ynac, Label: True
Input: apricot arptcoi, Label: True
Input: cavern vrncea, Label: True
Input: ocean asono, Label: False
Input: Nissan nNassi, Label: True
Input: grove kqvyn, Label: False
Input: boutique uqhtboeo, Label: False
Input: Mercedes eerMecsd, Label: True
Input: Nissan ianssN, Label: True
Input: tawny nqaue, Label: False
Input: meadow dawoem, Label:",True,True,other,6,0
"Input: plum mplu, Label: True
Input: Opel plOe, Label: True
Input: ocean asono, Label: False
Input: library abilyrr, Label: True
Input: Belize eelBzi, Label: True
Input: studio dousti, Label: True
Input: green uaauj, Label: False
Input: zoo ooz, Label: True
Input: Subaru uriSbj, Label: False
Input: rambutan anramubt, Label: True
Input: tundra andrut, Label:",True,True,other,6,0
"Input: pink fhbq, Label: False
Input: Subaru Suurab, Label: True
Input: yellow ewyllo, Label: True
Input: Fiat Fzlq, Label: False
Input: aquarium auuiaqmr, Label: True
Input: red dre, Label: True
Input: cerulean xlneueax, Label: False
Input: France eFncra, Label: True
Input: meadow ezmeae, Label: False
Input: Smart xthrS, Label: False
Input: Zimbabwe mbwiaZeb, Label:",True,True,country,8,0
